q	FC = 0.5_t	FC = 1.0_t	FC = 2.0_t	FC = 0.5_s	FC = 1.0_s	FC = 2.0_s
0.001	2778	2756	2	3186	2648	39
0.004	3248	3138	2	3552	2870	59
0.006	3453	3250	3	3728	2966	63
0.009	3596	3308	3	3809	3020	66
0.011	3704	3344	3	3873	3053	69
0.014	3793	3366	3	3930	3083	72
0.016	3871	3377	3	3981	3106	76
0.019	3935	3387	3	4020	3129	79
0.022	3995	3388	3	4059	3147	84
0.024	4045	3391	3	4100	3172	86
0.027	4096	3392	3	4131	3188	89
0.029	4138	3393	3	4169	3208	94
0.032	4181	3394	3	4193	3218	95
0.035	4218	3396	3	4211	3224	97
0.037	4254	3397	3	4231	3233	99
0.04	4289	3397	3	4257	3247	101
0.042	4325	3397	3	4278	3259	103
0.045	4355	3397	3	4298	3270	105
0.047	4383	3397	3	4323	3284	109
0.05	4410	3397	3	4333	3290	109
